## B-spline experiments:  using SPHERE grid cutoff
#
# Testing: cubicBspline Taylor4
#
          30006  septicBspline        Taylor8       9.000000                           4.918199   3.931275e-05   1.032767e-02       1.237187       2.246270
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006  septicBspline        Taylor8      10.000000                           3.540980   2.830419e-05   1.285732e-02       1.250446       2.333791
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006  septicBspline        Taylor8      11.000000                           0.618166   4.941202e-06   3.660655e-03       1.298938       3.116313
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006  septicBspline        Taylor8      12.000000                           0.103577   8.279220e-07   6.016568e-04       1.379976       4.143454
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006  septicBspline        Taylor8      13.000000                           0.275830   2.204802e-06   4.590192e-04       1.525797       5.253853
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006  septicBspline        Taylor8      14.000000                          -0.063019   5.037301e-07   1.983465e-04       1.693922       6.449945
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006  septicBspline        Taylor8      15.000000                           0.004213   3.367311e-08   4.237452e-05       1.803756       6.693175
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006  septicBspline        Taylor8      16.000000                          -0.000337   2.696133e-09   3.016178e-05       2.132656       8.024937
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006  septicBspline        Taylor8      17.000000                           0.000526   4.202053e-09   1.975961e-05       2.592729       9.478602
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006  septicBspline        Taylor8      18.000000                          -0.000914   7.302082e-09   5.060427e-06       3.252955      11.255266
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006  septicBspline        Taylor8      19.000000                          -0.000434   3.471708e-09   2.340032e-06       4.143922      12.995235
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006  septicBspline        Taylor8      20.000000                          -0.000098   7.805117e-10   2.078651e-06       4.594398      13.099352

# Testing: nonicBspline Taylor10
#
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006   nonicBspline       Taylor10       7.000000                       13766.561128   1.100406e-01   5.616887e+01       4.889958       1.680541
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006   nonicBspline       Taylor10       8.000000                        -688.202087   5.501022e-03   4.762884e+01       4.848146       2.277254
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006   nonicBspline       Taylor10       9.000000                         904.977047   7.233774e-03   4.912478e+00       5.175137       3.023244
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006   nonicBspline       Taylor10      10.000000                        -241.619747   1.931345e-03   8.447319e-01       5.187709       3.115078
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006   nonicBspline       Taylor10      11.000000                        -141.089303   1.127772e-03   4.220590e-01       4.968529       4.064477
